%-CaCO3,%-Calc
7.312282956,3.101394712
8.396669688,3.232887573
6.096463439,3.462054641
10.80576241,7.597982229
2.968807678,1.999532859
4.94822352,2.848147454
5.715769219,2.784621031
13.83277026,8.00745471
0.752877359,0.173573606
0.864382328,0.108250146
4.639582597,2.884120971
2.671059809,0.580732327
3.437155386,0.816740337
6.427078531,4.951811308
4.331841214,2.421243998
1.747583028,0.648885048
4.6895389,2.004582536
0.620522957,0.848370159
8.089582991,2.960103343
8.709015651,3.194495578
3.527884745,2.802961052
5.709523906,3.671248984
34.01848607,10.78873249
7.880592462,3.250389546
