%-CaCO3,%-Arag
7.312282956,96.89860529
8.396669688,96.76711243
6.096463439,96.53794536
10.80576241,92.40201777
2.968807678,98.00046714
4.94822352,97.15185255
5.715769219,97.21537897
13.83277026,91.99254529
0.752877359,99.82642639
0.864382328,99.89174985
4.639582597,97.11587903
2.671059809,99.41926767
3.437155386,99.18325966
6.427078531,95.04818869
4.331841214,97.578756
1.747583028,99.35111495
4.6895389,97.99541746
0.620522957,99.15162984
8.089582991,97.03989666
8.709015651,96.80550442
3.527884745,97.19703895
5.709523906,96.32875102
34.01848607,89.21126751
7.880592462,96.74961045
